PublicationDate,countryName,reportingYear,Pollutant,Releases
12/15/2025,Germany,2017,Nitrogen oxides (NOX),289320000
12/15/2025,Austria,2021,Nitrous oxide (N2O),188400
12/15/2025,Germany,2020,Naphthalene,4173
12/15/2025,Malta,2011,Carbon dioxide (CO2) excluding biomass,1936000000
12/15/2025,Luxembourg,2015,Methane (CH4),2130000
12/15/2025,Ireland,2009,Nickel and compounds (as Ni),2477
12/15/2025,Finland,2014,Polycyclic aromatic hydrocarbons (PAHs),238.7
12/15/2025,France,2011,Copper and compounds (as Cu),14128
12/15/2025,Italy,2015,Mercury and compounds (as Hg),515.4
12/15/2025,Italy,2013,Sulphur hexafluoride (SF6),4133.2
12/15/2025,United Kingdom,2019,Chlorine and inorganic compounds (as HCl),2013700
12/15/2025,Poland,2018,Arsenic and compounds (as As),5041.6
12/15/2025,Luxembourg,2015,Lead and compounds (as Pb),235
12/15/2025,Germany,2010,Chlorofluorocarbons (CFCs),1838.53
12/15/2025,Italy,2010,Copper and compounds (as Cu),5036
12/15/2025,Luxembourg,2017,Ammonia (NH3),24600
12/15/2025,Spain,2008,Arsenic and compounds (as As),4274.6
12/15/2025,Poland,2007,Nickel and compounds (as Ni),5325.5
12/15/2025,Spain,2009,Chromium and compounds (as Cr),7202
12/15/2025,France,2007,Copper and compounds (as Cu),19127
12/15/2025,Norway,2010,"Benzo(g,h,i)perylene",620.59
12/15/2025,Germany,2008,Cadmium and compounds (as Cd),1129
12/15/2025,Belgium,2008,Hydro-fluorocarbons (HFCS),210784
12/15/2025,Germany,2021,Nickel and compounds (as Ni),4199.4
12/15/2025,United Kingdom,2018,Copper and compounds (as Cu),4493
12/15/2025,Czechia,2009,PCDD + PCDF (dioxins + furans) (as Teq),0.0542
12/15/2025,Germany,2016,Chlorine and inorganic compounds (as HCl),3450000
12/15/2025,France,2010,Methane (CH4),151720000
12/15/2025,Finland,2019,Lead and compounds (as Pb),490
12/15/2025,Norway,2008,Tetrachloromethane (TCM),285
12/15/2025,Germany,2020,Tetrachloromethane (TCM),888
12/15/2025,Czechia,2009,Fluorine and inorganic compounds (as HF),467620
12/15/2025,Portugal,2007,Ammonia (NH3),7251500
12/15/2025,Czechia,2010,PCDD + PCDF (dioxins + furans) (as Teq),0.06061
12/15/2025,Bulgaria,2015,Ammonia (NH3),9997700
12/15/2025,United Kingdom,2008,Particulate matter (PM10),16523400
12/15/2025,United Kingdom,2011,Nickel and compounds (as Ni),11557.6
12/15/2025,United Kingdom,2007,Vinyl chloride,352620
12/15/2025,Czechia,2010,Fluorine and inorganic compounds (as HF),475560
12/15/2025,United Kingdom,2017,Zinc and compounds (as Zn),46411
12/15/2025,Italy,2011,Polychlorinated biphenyls (PCBs),20.075
12/15/2025,Norway,2008,Perfluorocarbons (PFCs),114880
12/15/2025,Portugal,2008,Dichloromethane (DCM),1630
12/15/2025,France,2018,Ammonia (NH3),15482600
12/15/2025,Spain,2010,Chromium and compounds (as Cr),18248
12/15/2025,Romania,2008,Non-methane volatile organic compounds (NMVOC),18378000
12/15/2025,Czechia,2008,Lead and compounds (as Pb),25791
12/15/2025,Lithuania,2021,Cadmium and compounds (as Cd),24.3
12/15/2025,Poland,2012,Fluorine and inorganic compounds (as HF),928090
12/15/2025,Cyprus,2011,Nitrogen oxides (NOX),11424000
12/15/2025,Belgium,2011,Methane (CH4),5538000
12/15/2025,Italy,2017,Lead and compounds (as Pb),8528
12/15/2025,Netherlands,2022,Methane (CH4),21177000
12/15/2025,Lithuania,2021,Nickel and compounds (as Ni),54
12/15/2025,Sweden,2008,Nitrous oxide (N2O),1966700
12/15/2025,Portugal,2021,Arsenic and compounds (as As),438.3
12/15/2025,Poland,2022,Nitrous oxide (N2O),4204300
12/15/2025,Slovenia,2008,Lead and compounds (as Pb),916
12/15/2025,Bulgaria,2008,Cadmium and compounds (as Cd),1000.7
12/15/2025,France,2009,"1,1,1-trichloroethane (TCE-1,1,1)",47000
12/15/2025,Bulgaria,2021,Nickel and compounds (as Ni),5368
12/15/2025,Sweden,2008,Sulphur oxides (SOX),14875000
12/15/2025,France,2009,Methane (CH4),138138000
12/15/2025,Portugal,2022,Copper and compounds (as Cu),1203
12/15/2025,Czechia,2018,PCDD + PCDF (dioxins + furans) (as Teq),0.006706
12/15/2025,Portugal,2018,Copper and compounds (as Cu),6814
12/15/2025,France,2020,Carbon dioxide (CO2),82073999936
12/15/2025,Ireland,2024,Nitrogen oxides (NOX),8053421.081
12/15/2025,Austria,2022,Zinc and compounds (as Zn),8369
12/15/2025,Ireland,2010,Nickel and compounds (as Ni),1941
12/15/2025,Finland,2018,Hydrogen cyanide (HCN),475
12/15/2025,Slovenia,2011,Copper and compounds (as Cu),133
12/15/2025,Bulgaria,2010,Methane (CH4),93699000
12/15/2025,Bulgaria,2023,Mercury and compounds (as Hg),725
12/15/2025,Poland,2018,Tetrachloroethylene,11700
12/15/2025,Netherlands,2020,Fluorine and inorganic compounds (as HF),35090
12/15/2025,Netherlands,2013,Nitrogen oxides (NOX),45813000
12/15/2025,Italy,2023,Fluorine and inorganic compounds (as HF),44872.4222
12/15/2025,Italy,2019,Hexachlorobenzene (HCB),146.43
12/15/2025,Romania,2021,Particulate matter (PM10),2277800
12/15/2025,Greece,2012,Sulphur oxides (SOX),99487000
12/15/2025,Ireland,2015,Sulphur hexafluoride (SF6),260
12/15/2025,Norway,2011,Fluorine and inorganic compounds (as HF),40200
12/15/2025,Finland,2018,Chromium and compounds (as Cr),3810
12/15/2025,Netherlands,2012,Chlorofluorocarbons (CFCs),4122.03
12/15/2025,Estonia,2019,Particulate matter (PM10),1106400
12/15/2025,Greece,2018,Hydro-fluorocarbons (HFCS),2844
12/15/2025,Austria,2009,Nickel and compounds (as Ni),177
12/15/2025,Austria,2023,Nitrogen oxides (NOX),13633000
12/15/2025,Switzerland,2019,Nitrous oxide (N2O),2230375.1
12/15/2025,Sweden,2011,"1,2-dichloroethane (DCE-1,2)",8610
12/15/2025,Switzerland,2019,Cadmium and compounds (as Cd),0.58
12/15/2025,Czechia,2015,Hydro-fluorocarbons (HFCS),3922
12/15/2025,France,2010,"1,1,1-trichloroethane (TCE-1,1,1)",56860
12/15/2025,Sweden,2015,Methane (CH4),13176000
12/15/2025,Czechia,2015,Benzene,4870
12/15/2025,Ireland,2023,Chlorofluorocarbons (CFCs),3.01
12/15/2025,Switzerland,2022,Mercury and compounds (as Hg),237.56
12/15/2025,Czechia,2008,Hydrochlorofluorocarbons (HCFCs),1269.4
12/15/2025,Latvia,2021,Methane (CH4),107000
12/15/2025,Estonia,2019,Fine particulate matter (PM2.5),502800
12/15/2025,Poland,2014,Particulate matter (PM10),17831800
12/15/2025,Austria,2014,Zinc and compounds (as Zn),12389
12/15/2025,Greece,2022,Nitrous oxide (N2O),270747
12/15/2025,Austria,2016,PCDD + PCDF (dioxins + furans) (as Teq),0.00138
12/15/2025,Greece,2016,Di-(2-ethyl hexyl) phthalate (DEHP),747
12/15/2025,Serbia,2021,Particulate matter (PM10),8208200
12/15/2025,Austria,2016,Mercury and compounds (as Hg),468.5
12/15/2025,Greece,2017,Zinc and compounds (as Zn),32102
12/15/2025,Slovakia,2017,Methane (CH4),5843000
12/15/2025,Greece,2021,Arsenic and compounds (as As),259.3
12/15/2025,Cyprus,2021,Nickel and compounds (as Ni),4650.9
12/15/2025,Portugal,2012,Particulate matter (PM10),2856900
12/15/2025,Romania,2019,Lead and compounds (as Pb),4570
12/15/2025,Hungary,2012,Mercury and compounds (as Hg),181.3
12/15/2025,Poland,2024,Hydro-fluorocarbons (HFCS),61385
12/15/2025,Austria,2015,Methane (CH4),8848000
12/15/2025,Bulgaria,2017,Zinc and compounds (as Zn),1756
12/15/2025,Iceland,2010,Nitrous oxide (N2O),175000
12/15/2025,Croatia,2017,Arsenic and compounds (as As),72.2
12/15/2025,Czechia,2009,Dichloromethane (DCM),7200
12/15/2025,Czechia,2018,Dichloromethane (DCM),12885.14
12/15/2025,Portugal,2020,Benzene,22420
12/15/2025,Iceland,2009,Nitrous oxide (N2O),275000
12/15/2025,Portugal,2015,Hydrogen cyanide (HCN),782
12/15/2025,Portugal,2009,Hydro-fluorocarbons (HFCS),655
12/15/2025,Italy,2017,Arsenic and compounds (as As),432.9
12/15/2025,Austria,2010,Nickel and compounds (as Ni),716
12/15/2025,Slovenia,2020,Carbon dioxide (CO2),5314266000
12/15/2025,Lithuania,2016,Copper and compounds (as Cu),859
12/15/2025,Netherlands,2024,Sulphur oxides (SOX),11774000
12/15/2025,Spain,2008,Tetrachloroethylene,4820
12/15/2025,Bulgaria,2009,Methane (CH4),70042000
12/15/2025,Slovenia,2009,Polycyclic aromatic hydrocarbons (PAHs),76
12/15/2025,Poland,2012,Hydrogen cyanide (HCN),5227
12/15/2025,France,2022,Pentachlorobenzene,388
12/15/2025,Slovenia,2009,PCDD + PCDF (dioxins + furans) (as Teq),0.0003
12/15/2025,Slovakia,2022,Arsenic and compounds (as As),27.6
12/15/2025,Netherlands,2023,Methane (CH4),16852000
12/15/2025,Portugal,2010,Hydro-fluorocarbons (HFCS),877
12/15/2025,Bulgaria,2016,Non-methane volatile organic compounds (NMVOC),295000
12/15/2025,Sweden,2007,Copper and compounds (as Cu),3190
12/15/2025,Romania,2016,Nitrogen oxides (NOX),43095000
12/15/2025,Portugal,2014,Tetrachloroethylene,25700
12/15/2025,Hungary,2007,Cadmium and compounds (as Cd),30
12/15/2025,Latvia,2019,Naphthalene,106
12/15/2025,Latvia,2018,Trichloromethane,1200
12/15/2025,Ireland,2011,Sulphur hexafluoride (SF6),754
12/15/2025,Hungary,2018,Copper and compounds (as Cu),1060
12/15/2025,Germany,2012,Trichloromethane,1920
12/15/2025,Austria,2007,Carbon monoxide (CO),163261000
12/15/2025,Finland,2012,Hydro-fluorocarbons (HFCS),263
12/15/2025,Netherlands,2008,Trichloroethylene (TRI),18300
12/15/2025,Sweden,2015,Lead and compounds (as Pb),2570
12/15/2025,Netherlands,2018,"1,2-dichloroethane (DCE-1,2)",11400
12/15/2025,Estonia,2017,Non-methane volatile organic compounds (NMVOC),721000
12/15/2025,Spain,2019,Vinyl chloride,18670
12/15/2025,Finland,2008,Benzene,162850
12/15/2025,Croatia,2020,PCDD + PCDF (dioxins + furans) (as Teq),0.00573
12/15/2025,Hungary,2023,Chlorine and inorganic compounds (as HCl),77400
12/15/2025,Austria,2016,Dichloromethane (DCM),12400
12/15/2025,Estonia,2013,Methane (CH4),6090000
12/15/2025,Finland,2018,Polycyclic aromatic hydrocarbons (PAHs),99.7
12/15/2025,Spain,2007,Ethylene oxide,14800
12/15/2025,Italy,2013,Di-(2-ethyl hexyl) phthalate (DEHP),27.4
12/15/2025,Cyprus,2016,Nitrogen oxides (NOX),6086000
12/15/2025,Hungary,2023,Hydrogen cyanide (HCN),715
12/15/2025,Finland,2018,Naphthalene,644
12/15/2025,Latvia,2008,Nitrous oxide (N2O),46900
12/15/2025,Latvia,2008,Nitrogen oxides (NOX),3768000
12/15/2025,Cyprus,2017,Zinc and compounds (as Zn),2626
12/15/2025,Cyprus,2015,Mercury and compounds (as Hg),80.4
12/15/2025,Malta,2010,Nitrogen oxides (NOX),4900000
12/15/2025,Malta,2009,Particulate matter (PM10),221000
12/15/2025,Serbia,2011,Nitrogen oxides (NOX),65735000
12/15/2025,Malta,2007,Hydrochlorofluorocarbons (HCFCs),25
12/15/2025,Portugal,2012,Fluorine and inorganic compounds (as HF),77740
12/15/2025,Portugal,2015,Polycyclic aromatic hydrocarbons (PAHs),1161.3
12/15/2025,Cyprus,2023,Mercury and compounds (as Hg),85.82
12/15/2025,Slovenia,2016,Hydro-fluorocarbons (HFCS),972
12/15/2025,Switzerland,2014,Chlorofluorocarbons (CFCs),5
12/15/2025,Slovakia,2020,Nitrous oxide (N2O),10500
12/15/2025,Czechia,2021,Carbon dioxide (CO2) excluding biomass,54317214503
12/15/2025,Spain,2014,Hydro-fluorocarbons (HFCS),19285
12/15/2025,United Kingdom,2014,Chlorine and inorganic compounds (as HCl),5747900
12/15/2025,Serbia,2024,Arsenic and compounds (as As),63.6
12/15/2025,Spain,2016,Sulphur oxides (SOX),153001000
12/15/2025,Italy,2008,Lead and compounds (as Pb),22600
12/15/2025,Belgium,2013,Nitrous oxide (N2O),4660300
12/15/2025,Austria,2021,Nitrogen oxides (NOX),14649000
12/15/2025,Poland,2018,Chromium and compounds (as Cr),20140
12/15/2025,Spain,2009,Carbon monoxide (CO),255906000
12/15/2025,Germany,2012,Nitrogen oxides (NOX),334216000
12/15/2025,Finland,2014,Chromium and compounds (as Cr),9399
12/15/2025,Finland,2016,Carbon dioxide (CO2),47836000000
12/15/2025,Germany,2007,Chlorine and inorganic compounds (as HCl),4672400
12/15/2025,Italy,2007,Polychlorinated biphenyls (PCBs),66.981
12/15/2025,Italy,2010,Non-methane volatile organic compounds (NMVOC),41632000
12/15/2025,United Kingdom,2018,Hydro-fluorocarbons (HFCS),69937
12/15/2025,Switzerland,2016,Hydro-fluorocarbons (HFCS),132
12/15/2025,Sweden,2009,Zinc and compounds (as Zn),16762
12/15/2025,Czechia,2017,Zinc and compounds (as Zn),6110
12/15/2025,Finland,2014,Carbon dioxide (CO2) excluding biomass,25494950000
12/15/2025,Belgium,2008,Non-methane volatile organic compounds (NMVOC),36139000
12/15/2025,France,2021,Ammonia (NH3),15095300
12/15/2025,United Kingdom,2018,Non-methane volatile organic compounds (NMVOC),83903000
12/15/2025,Czechia,2021,Chromium and compounds (as Cr),5869.21745
12/15/2025,Germany,2017,Cadmium and compounds (as Cd),767.9
12/15/2025,Germany,2018,"1,1,1-trichloroethane (TCE-1,1,1)",121
12/15/2025,Poland,2008,Hydrochlorofluorocarbons (HCFCs),72460.39
12/15/2025,Finland,2014,Dichloromethane (DCM),3150
12/15/2025,United Kingdom,2016,Nitrogen oxides (NOX),210872000
12/15/2025,Poland,2018,PCDD + PCDF (dioxins + furans) (as Teq),0.12111801
12/15/2025,Finland,2014,PCDD + PCDF (dioxins + furans) (as Teq),0.0027
12/15/2025,Italy,2008,Arsenic and compounds (as As),740.9
12/15/2025,Sweden,2021,Vinyl chloride,16000
12/15/2025,France,2021,Naphthalene,16170
12/15/2025,Belgium,2017,Lead and compounds (as Pb),16604
12/15/2025,Italy,2022,Sulphur oxides (SOX),38107397.6
12/15/2025,Germany,2018,Hydrochlorofluorocarbons (HCFCs),446.31
12/15/2025,Spain,2009,Polycyclic aromatic hydrocarbons (PAHs),18255.9
12/15/2025,Germany,2019,Copper and compounds (as Cu),11652
12/15/2025,Belgium,2015,Mercury and compounds (as Hg),540
12/15/2025,Germany,2024,Zinc and compounds (as Zn),41244
12/15/2025,Norway,2015,Carbon dioxide (CO2),24497000000
12/15/2025,Romania,2009,Perfluorocarbons (PFCs),1030
12/15/2025,Spain,2010,Dichloromethane (DCM),37800
12/15/2025,Denmark,2009,Sulphur oxides (SOX),6305000
12/15/2025,Germany,2015,Polychlorinated biphenyls (PCBs),3.623
12/15/2025,Spain,2019,Zinc and compounds (as Zn),43051
12/15/2025,Spain,2010,Polycyclic aromatic hydrocarbons (PAHs),33267.4
12/15/2025,Greece,2014,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",167
12/15/2025,France,2018,Lead and compounds (as Pb),16321
12/15/2025,Netherlands,2019,Hydro-fluorocarbons (HFCS),39686
12/15/2025,Denmark,2021,Fluorine and inorganic compounds (as HF),57740.93404
12/15/2025,Spain,2013,Particulate matter (PM10),9193600
12/15/2025,Portugal,2008,PCDD + PCDF (dioxins + furans) (as Teq),0.0035
12/15/2025,Slovakia,2021,Ammonia (NH3),972100
12/15/2025,Netherlands,2009,Anthracene,2423
12/15/2025,Slovakia,2016,Fluorine and inorganic compounds (as HF),47500
12/15/2025,Slovakia,2016,Mercury and compounds (as Hg),149.8
12/15/2025,Hungary,2014,Chlorine and inorganic compounds (as HCl),13400
12/15/2025,United Kingdom,2011,Ammonia (NH3),12743000
12/15/2025,United Kingdom,2012,Di-(2-ethyl hexyl) phthalate (DEHP),266
12/15/2025,Spain,2020,Lead and compounds (as Pb),5687
12/15/2025,Romania,2010,Perfluorocarbons (PFCs),1150
12/15/2025,Czechia,2009,Particulate matter (PM10),4251900
12/15/2025,Italy,2016,Carbon dioxide (CO2),1.37495E+11
12/15/2025,Sweden,2010,Chlorine and inorganic compounds (as HCl),832200
12/15/2025,France,2023,Cadmium and compounds (as Cd),1175.100005
12/15/2025,Romania,2015,Copper and compounds (as Cu),232
12/15/2025,Portugal,2008,Chromium and compounds (as Cr),3402
12/15/2025,United Kingdom,2013,Toluene,413398
12/15/2025,France,2018,Cadmium and compounds (as Cd),760.7
12/15/2025,Spain,2018,Chromium and compounds (as Cr),25851
12/15/2025,Italy,2020,Particulate matter (PM10),412810.3
12/15/2025,Bulgaria,2021,Ammonia (NH3),9730290
12/15/2025,Czechia,2010,Arsenic and compounds (as As),1786.9
12/15/2025,Poland,2020,Chlorine and inorganic compounds (as HCl),8544900
12/15/2025,Spain,2017,"1,1,1-trichloroethane (TCE-1,1,1)",177
12/15/2025,Bulgaria,2008,Nitrogen oxides (NOX),81836000
12/15/2025,Ireland,2013,Hydrochlorofluorocarbons (HCFCs),2444.5
12/15/2025,Norway,2010,Nitrous oxide (N2O),1157000
12/15/2025,Belgium,2023,Fluorine and inorganic compounds (as HF),34530
12/15/2025,Netherlands,2015,Nitrogen oxides (NOX),42441000
12/15/2025,Slovakia,2021,Vinyl chloride,33800
12/15/2025,Sweden,2008,Copper and compounds (as Cu),1300
12/15/2025,Germany,2013,Arsenic and compounds (as As),2125.9
12/15/2025,Belgium,2023,PCDD + PCDF (dioxins + furans) (as Teq),0.008943
12/15/2025,Sweden,2024,Cadmium and compounds (as Cd),62.6
12/15/2025,Cyprus,2011,Nitrous oxide (N2O),15900
12/15/2025,Norway,2009,Phenols (as total C),27769
12/15/2025,Norway,2009,Nitrous oxide (N2O),1494700
12/15/2025,Greece,2009,Chromium and compounds (as Cr),4810
12/15/2025,United Kingdom,2015,PCDD + PCDF (dioxins + furans) (as Teq),0.056422
12/15/2025,Romania,2017,Copper and compounds (as Cu),199
12/15/2025,Spain,2017,Methane (CH4),166105000
12/15/2025,France,2009,Halons,863
12/15/2025,Slovenia,2008,Benzene,8420
12/15/2025,Sweden,2013,Hydro-fluorocarbons (HFCS),5203
12/15/2025,Austria,2020,Sulphur oxides (SOX),5796000
12/15/2025,Norway,2010,Phenols (as total C),28076
12/15/2025,Norway,2017,"Benzo(g,h,i)perylene",397.2762
12/15/2025,Netherlands,2016,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",639.1
12/15/2025,Netherlands,2021,Copper and compounds (as Cu),1195
12/15/2025,Austria,2010,Ammonia (NH3),194600
12/15/2025,Poland,2017,Lead and compounds (as Pb),38409
12/15/2025,Switzerland,2010,Zinc and compounds (as Zn),12148
12/15/2025,Croatia,2015,Particulate matter (PM10),738200
12/15/2025,Finland,2021,Polycyclic aromatic hydrocarbons (PAHs),177.2
12/15/2025,Finland,2020,Fluorine and inorganic compounds (as HF),49350
12/15/2025,France,2016,Trichloromethane,67342
12/15/2025,Slovenia,2014,Cadmium and compounds (as Cd),10.7
12/15/2025,Bulgaria,2023,Polycyclic aromatic hydrocarbons (PAHs),6772
12/15/2025,Latvia,2013,Ammonia (NH3),597100
12/15/2025,Switzerland,2020,Carbon dioxide (CO2),7766887840
12/15/2025,Netherlands,2019,"1,2-dichloroethane (DCE-1,2)",22500
12/15/2025,Spain,2022,Mercury and compounds (as Hg),711.2
12/15/2025,Norway,2011,PCDD + PCDF (dioxins + furans) (as Teq),0.002368
12/15/2025,Portugal,2019,Zinc and compounds (as Zn),21040
12/15/2025,Sweden,2022,Carbon dioxide (CO2) excluding biomass,15225284000
12/15/2025,Iceland,2015,Fluorine and inorganic compounds (as HF),336800
12/15/2025,Italy,2014,Dichloromethane (DCM),1319830
12/15/2025,Luxembourg,2008,Polychlorinated biphenyls (PCBs),2.33
12/15/2025,Luxembourg,2010,Nitrogen oxides (NOX),4815000
12/15/2025,Estonia,2019,Chromium and compounds (as Cr),1732
12/15/2025,Latvia,2021,Carbon dioxide (CO2),1654000000
12/15/2025,Lithuania,2009,Carbon dioxide (CO2),4956000000
12/15/2025,Sweden,2016,Carbon monoxide (CO),53046000
12/15/2025,Finland,2022,Particulate matter (PM10),1051500
12/15/2025,Netherlands,2016,Lead and compounds (as Pb),5925
12/15/2025,Switzerland,2022,Dichloromethane (DCM),6695
12/15/2025,Switzerland,2019,Nitrogen oxides (NOX),3766280
12/15/2025,Belgium,2019,Hydrochlorofluorocarbons (HCFCs),24.3
12/15/2025,Czechia,2015,Hydrochlorofluorocarbons (HCFCs),208.2
12/15/2025,Belgium,2019,"1,1,1-trichloroethane (TCE-1,1,1)",150
12/15/2025,Bulgaria,2022,Benzene,7014
12/15/2025,Germany,2008,Chlorofluorocarbons (CFCs),641.72
12/15/2025,Ireland,2024,Nitrous oxide (N2O),169871.2923
12/15/2025,France,2010,Halons,1440
12/15/2025,Denmark,2019,Hydro-fluorocarbons (HFCS),108
12/15/2025,Lithuania,2012,Nitrogen oxides (NOX),5897000
12/15/2025,Netherlands,2017,Trichloroethylene (TRI),4000
12/15/2025,Austria,2009,Ammonia (NH3),231700
12/15/2025,Greece,2018,Hydrochlorofluorocarbons (HCFCs),58.7
12/15/2025,Switzerland,2009,Polycyclic aromatic hydrocarbons (PAHs),240
12/15/2025,Slovenia,2022,Fluorine and inorganic compounds (as HF),16097
12/15/2025,Netherlands,2012,Cadmium and compounds (as Cd),565.6
12/15/2025,Hungary,2015,Dichloromethane (DCM),12000
12/15/2025,Hungary,2012,Carbon monoxide (CO),19682000
12/15/2025,Sweden,2024,Vinyl chloride,18538
12/15/2025,Belgium,2020,Dichloromethane (DCM),16700
12/15/2025,Portugal,2021,Non-methane volatile organic compounds (NMVOC),8391000
12/15/2025,Slovenia,2022,Mercury and compounds (as Hg),33.9
12/15/2025,Sweden,2019,Naphthalene,719
12/15/2025,Serbia,2023,Chromium and compounds (as Cr),317
12/15/2025,Belgium,2015,Sulphur hexafluoride (SF6),112
12/15/2025,Switzerland,2008,Nickel and compounds (as Ni),447
12/15/2025,Austria,2014,Nitrogen oxides (NOX),16146000
12/15/2025,Romania,2016,Nitrous oxide (N2O),1976300
12/15/2025,Netherlands,2007,Chlorine and inorganic compounds (as HCl),87800
12/15/2025,Hungary,2012,Polycyclic aromatic hydrocarbons (PAHs),101
12/15/2025,France,2024,Trichloromethane,21839
12/15/2025,Netherlands,2013,Trichloromethane,1660
12/15/2025,Spain,2022,Sulphur hexafluoride (SF6),408
12/15/2025,Netherlands,2021,Carbon monoxide (CO),59672000
12/15/2025,Austria,2015,Carbon dioxide (CO2),32719000000
12/15/2025,Slovakia,2010,Hydrochlorofluorocarbons (HCFCs),21
12/15/2025,Latvia,2017,Ammonia (NH3),731600
12/15/2025,Greece,2022,Di-(2-ethyl hexyl) phthalate (DEHP),205
12/15/2025,Germany,2019,Non-methane volatile organic compounds (NMVOC),34753000
12/15/2025,Ireland,2009,Methane (CH4),48340000
12/15/2025,Denmark,2014,Nitrous oxide (N2O),110300
12/15/2025,Germany,2011,Mercury and compounds (as Hg),7054.7
12/15/2025,United Kingdom,2007,Chromium and compounds (as Cr),8582
12/15/2025,Italy,2021,Cadmium and compounds (as Cd),443.1649
12/15/2025,Spain,2016,Non-methane volatile organic compounds (NMVOC),49855000
12/15/2025,Estonia,2013,Nitrogen oxides (NOX),12891000
12/15/2025,Norway,2016,Polycyclic aromatic hydrocarbons (PAHs),2601.6
12/15/2025,Germany,2009,Chromium and compounds (as Cr),12654
12/15/2025,Germany,2008,Benzene,276010
12/15/2025,Poland,2008,Methane (CH4),440077000
12/15/2025,France,2007,Arsenic and compounds (as As),5750.9
12/15/2025,Sweden,2023,Nitrogen oxides (NOX),23813823.3
12/15/2025,Italy,2018,Nickel and compounds (as Ni),2091.5054
12/15/2025,Belgium,2020,Zinc and compounds (as Zn),16987
12/15/2025,Spain,2009,Mercury and compounds (as Hg),2180.9
12/15/2025,Sweden,2009,PCDD + PCDF (dioxins + furans) (as Teq),0.01387
12/15/2025,Poland,2013,Carbon monoxide (CO),273652000
12/15/2025,United Kingdom,2009,Hydrogen cyanide (HCN),38262
12/15/2025,France,2011,Hydrogen cyanide (HCN),7015
12/15/2025,Belgium,2018,Nitrous oxide (N2O),3349500
12/15/2025,Germany,2020,Hydrogen cyanide (HCN),5675
12/15/2025,Spain,2008,Particulate matter (PM10),18153100
12/15/2025,Estonia,2013,Carbon dioxide (CO2),15667000000
12/15/2025,Germany,2010,Chromium and compounds (as Cr),11966
12/15/2025,Belgium,2008,Pentachlorophenol (PCP),1779
12/15/2025,Germany,2018,Hydrogen cyanide (HCN),4492
12/15/2025,Spain,2007,Carbon monoxide (CO),381662000
12/15/2025,Germany,2009,Hydrochlorofluorocarbons (HCFCs),18838.22
12/15/2025,Finland,2016,Fluorine and inorganic compounds (as HF),64860
12/15/2025,Denmark,2015,Ammonia (NH3),1473200
12/15/2025,Italy,2007,Cadmium and compounds (as Cd),828.4
12/15/2025,Austria,2017,Zinc and compounds (as Zn),4287
12/15/2025,Italy,2015,Chromium and compounds (as Cr),2815
12/15/2025,Italy,2013,Lead and compounds (as Pb),8171
12/15/2025,Romania,2013,Particulate matter (PM10),11382100
12/15/2025,Romania,2015,Arsenic and compounds (as As),418
12/15/2025,Romania,2010,Carbon monoxide (CO),67728000
12/15/2025,Austria,2012,Cadmium and compounds (as Cd),40.1
12/15/2025,Netherlands,2010,Hydrochlorofluorocarbons (HCFCs),127975.41
12/15/2025,Hungary,2020,Carbon dioxide (CO2),19565526000
12/15/2025,Finland,2015,Fluorine and inorganic compounds (as HF),44160
12/15/2025,Portugal,2016,Methane (CH4),65792000
12/15/2025,France,2010,Tetrachloroethylene,116520
12/15/2025,Sweden,2012,Cadmium and compounds (as Cd),73.8
12/15/2025,Denmark,2021,Dichloromethane (DCM),0
12/15/2025,Netherlands,2009,Cadmium and compounds (as Cd),1471
12/15/2025,Poland,2016,Lead and compounds (as Pb),38565
12/15/2025,United Kingdom,2008,Benzene,1373360
12/15/2025,Hungary,2020,Nitrogen oxides (NOX),15164000
12/15/2025,Romania,2013,Ammonia (NH3),17908600
12/15/2025,Serbia,2013,Ammonia (NH3),9506200
12/15/2025,Romania,2019,Chromium and compounds (as Cr),723
12/15/2025,Germany,2019,Arsenic and compounds (as As),1462.5
12/15/2025,Romania,2012,Ammonia (NH3),17779400
12/15/2025,Romania,2009,Carbon monoxide (CO),61348000
12/15/2025,Poland,2010,Sulphur oxides (SOX),483045000
12/15/2025,Poland,2010,Carbon dioxide (CO2),1.88801E+11
12/15/2025,France,2010,Arsenic and compounds (as As),2322.8
12/15/2025,Germany,2015,Cadmium and compounds (as Cd),1087.2
12/15/2025,Belgium,2009,Chlorine and inorganic compounds (as HCl),563700
12/15/2025,Switzerland,2012,Halons,200.5
12/15/2025,Slovakia,2021,Chlorine and inorganic compounds (as HCl),26100
12/15/2025,Greece,2008,Non-methane volatile organic compounds (NMVOC),4394000
12/15/2025,Ireland,2012,Nitrous oxide (N2O),205200
12/15/2025,Italy,2009,Polychlorinated biphenyls (PCBs),29.014
12/15/2025,Switzerland,2018,Ammonia (NH3),251670.18
12/15/2025,Slovakia,2021,Mercury and compounds (as Hg),10.3
12/15/2025,Norway,2008,Polycyclic aromatic hydrocarbons (PAHs),10040.5
12/15/2025,Austria,2011,Mercury and compounds (as Hg),327.1
12/15/2025,Poland,2010,Nitrogen oxides (NOX),314025000
12/15/2025,Serbia,2013,Particulate matter (PM10),18118600
12/15/2025,Poland,2013,Trichloromethane,550
