PublicationDate,countryName,reportingYear,Pollutant,Releases
12/15/2025,Slovakia,2011,Carbon monoxide (CO),130766000
12/15/2025,Belgium,2017,Hydro-fluorocarbons (HFCS),9728
12/15/2025,Lithuania,2020,Mercury and compounds (as Hg),47.3
12/15/2025,Romania,2017,Carbon dioxide (CO2),37691000000
12/15/2025,Norway,2013,Arsenic and compounds (as As),445.6
12/15/2025,Poland,2020,Fluorine and inorganic compounds (as HF),399150
12/15/2025,Switzerland,2017,Hydrochlorofluorocarbons (HCFCs),14.8
12/15/2025,Bulgaria,2021,Chromium and compounds (as Cr),4412
12/15/2025,Estonia,2021,Cadmium and compounds (as Cd),138.8
12/15/2025,Lithuania,2021,Benzene,40000
12/15/2025,Greece,2009,Cadmium and compounds (as Cd),200.9
12/15/2025,Denmark,2009,Polychlorinated biphenyls (PCBs),1.3
12/15/2025,United Kingdom,2008,Naphthalene,8666
12/15/2025,Sweden,2013,"1,2-dichloroethane (DCE-1,2)",17300
12/15/2025,Netherlands,2009,Trichloroethylene (TRI),17600
12/15/2025,Slovenia,2021,Carbon monoxide (CO),5574118
12/15/2025,Germany,2013,Copper and compounds (as Cu),12692
12/15/2025,Bulgaria,2018,Copper and compounds (as Cu),539.46
12/15/2025,Lithuania,2021,Arsenic and compounds (as As),85.3
12/15/2025,Bulgaria,2021,Carbon dioxide (CO2) excluding biomass,2378999863
12/15/2025,Malta,2021,Methane (CH4),4758000
12/15/2025,France,2024,Particulate matter (PM10),3341700
12/15/2025,Ireland,2013,Mercury and compounds (as Hg),31.2
12/15/2025,Slovenia,2011,Nickel and compounds (as Ni),51
12/15/2025,Austria,2020,Zinc and compounds (as Zn),6830
12/15/2025,Netherlands,2022,Dichloromethane (DCM),63160
12/15/2025,Norway,2014,Vinyl chloride,31930
12/15/2025,Switzerland,2022,Halons,6.76
12/15/2025,Cyprus,2013,Carbon dioxide (CO2),4010000000
12/15/2025,Germany,2015,Polycyclic aromatic hydrocarbons (PAHs),824.7
12/15/2025,Italy,2009,Vinyl chloride,3980
12/15/2025,Switzerland,2019,Zinc and compounds (as Zn),4973.5
12/15/2025,Romania,2024,Methane (CH4),20552000
12/15/2025,Luxembourg,2009,Arsenic and compounds (as As),52.3
12/15/2025,Sweden,2009,Mercury and compounds (as Hg),186.2
12/15/2025,Luxembourg,2008,Chlorine and inorganic compounds (as HCl),34600
12/15/2025,Cyprus,2012,Nitrogen oxides (NOX),12422000
12/15/2025,Lithuania,2022,Chromium and compounds (as Cr),166
12/15/2025,Slovakia,2010,Fluorine and inorganic compounds (as HF),22130
12/15/2025,Germany,2016,Perfluorocarbons (PFCs),12080
12/15/2025,Czechia,2022,Ammonia (NH3),7751692.127
12/15/2025,Austria,2023,Mercury and compounds (as Hg),360.2
12/15/2025,Luxembourg,2010,Copper and compounds (as Cu),213
12/15/2025,Cyprus,2012,Carbon dioxide (CO2),4355000000
12/15/2025,Slovenia,2016,Methane (CH4),12636000
12/15/2025,Belgium,2007,Non-methane volatile organic compounds (NMVOC),38452000
12/15/2025,Czechia,2019,Non-methane volatile organic compounds (NMVOC),4492917.83
12/15/2025,Czechia,2019,Arsenic and compounds (as As),2561.078744
12/15/2025,United Kingdom,2008,Tetrachloromethane (TCM),15121
12/15/2025,Finland,2011,Copper and compounds (as Cu),4576
12/15/2025,Netherlands,2014,Nickel and compounds (as Ni),864
12/15/2025,Bulgaria,2009,Particulate matter (PM10),15791200
12/15/2025,Bulgaria,2010,Particulate matter (PM10),6798500
12/15/2025,Hungary,2016,Methane (CH4),2232000
12/15/2025,Denmark,2022,Hydrochlorofluorocarbons (HCFCs),36.1
12/15/2025,Belgium,2007,Tetrachloroethylene,257880
12/15/2025,Latvia,2010,Particulate matter (PM10),1243400
12/15/2025,Slovakia,2014,Mercury and compounds (as Hg),207.9
12/15/2025,Czechia,2022,Carbon dioxide (CO2),57787024109
12/15/2025,Spain,2007,Trichloromethane,12169
12/15/2025,Norway,2007,Mercury and compounds (as Hg),158.6
12/15/2025,Ireland,2010,Non-methane volatile organic compounds (NMVOC),2777000
12/15/2025,Cyprus,2020,Copper and compounds (as Cu),108
12/15/2025,Portugal,2024,Trichloromethane,20720
12/15/2025,Austria,2018,Hydrogen cyanide (HCN),846
12/15/2025,Greece,2021,Non-methane volatile organic compounds (NMVOC),6584250
12/15/2025,Italy,2007,Trichloroethylene (TRI),3180
12/15/2025,Belgium,2010,"Benzo(g,h,i)perylene",842.408214
12/15/2025,Belgium,2022,Lead and compounds (as Pb),3151
12/15/2025,Romania,2009,Nickel and compounds (as Ni),1626
12/15/2025,Belgium,2021,Tetrachloromethane (TCM),2300
12/15/2025,Belgium,2022,Vinyl chloride,19260
12/15/2025,Romania,2008,Cadmium and compounds (as Cd),152.3
12/15/2025,Netherlands,2020,Carbon dioxide (CO2),82432000000
12/15/2025,Luxembourg,2023,Carbon monoxide (CO),5177000
12/15/2025,Netherlands,2020,Nitrogen oxides (NOX),32615160
12/15/2025,Romania,2017,Nitrogen oxides (NOX),42711000
12/15/2025,Netherlands,2007,Ethylene oxide,4310
12/15/2025,Netherlands,2023,Dichloromethane (DCM),27370
12/15/2025,Romania,2010,Nickel and compounds (as Ni),2602.9
12/15/2025,Ireland,2010,Arsenic and compounds (as As),24.4
12/15/2025,Croatia,2024,Nitrous oxide (N2O),122900
12/15/2025,Iceland,2019,Carbon dioxide (CO2),764170460
12/15/2025,Bulgaria,2017,Carbon dioxide (CO2) excluding biomass,843000000
12/15/2025,Switzerland,2010,Sulphur hexafluoride (SF6),1475
12/15/2025,Bulgaria,2022,Copper and compounds (as Cu),6968
12/15/2025,Germany,2024,Dichloromethane (DCM),169020
12/15/2025,Austria,2022,Fluorine and inorganic compounds (as HF),5370
12/15/2025,Netherlands,2010,Polycyclic aromatic hydrocarbons (PAHs),168
12/15/2025,Netherlands,2010,Chlorine and inorganic compounds (as HCl),16700
12/15/2025,Greece,2011,Tetrachloroethylene,74200
12/15/2025,Cyprus,2015,Ammonia (NH3),1224900
12/15/2025,Portugal,2019,Polycyclic aromatic hydrocarbons (PAHs),109
12/15/2025,Latvia,2007,Di-(2-ethyl hexyl) phthalate (DEHP),1530
12/15/2025,Sweden,2009,Sulphur hexafluoride (SF6),640
12/15/2025,Denmark,2008,Nickel and compounds (as Ni),432
12/15/2025,Portugal,2015,Naphthalene,751
12/15/2025,France,2011,Polychlorinated biphenyls (PCBs),0.345
12/15/2025,Hungary,2019,PCDD + PCDF (dioxins + furans) (as Teq),0.0129
12/15/2025,Czechia,2009,Di-(2-ethyl hexyl) phthalate (DEHP),61
12/15/2025,Belgium,2023,Cadmium and compounds (as Cd),128.6
12/15/2025,Czechia,2020,Hydrogen cyanide (HCN),323
12/15/2025,Switzerland,2008,Chromium and compounds (as Cr),383
12/15/2025,United Kingdom,2013,Tetrachloroethylene,5240
12/15/2025,Austria,2008,Benzene,7880
12/15/2025,Romania,2018,Benzene,3860
12/15/2025,Finland,2010,Polychlorinated biphenyls (PCBs),5.9
12/15/2025,Poland,2014,Naphthalene,1570
12/15/2025,Greece,2010,Lead and compounds (as Pb),1699
12/15/2025,Cyprus,2013,Nitrogen oxides (NOX),8112000
12/15/2025,Estonia,2018,Nickel and compounds (as Ni),4697
12/15/2025,Greece,2010,Cadmium and compounds (as Cd),120.3
12/15/2025,Ireland,2009,Non-methane volatile organic compounds (NMVOC),3895000
12/15/2025,Poland,2021,Carbon monoxide (CO),207263000
12/15/2025,Germany,2018,Sulphur hexafluoride (SF6),1100
12/15/2025,Spain,2016,Carbon dioxide (CO2),1.11096E+11
12/15/2025,Denmark,2014,Ammonia (NH3),1089200
12/15/2025,Germany,2014,Particulate matter (PM10),10277600
12/15/2025,Germany,2019,Nickel and compounds (as Ni),5189.5
12/15/2025,Ireland,2009,Carbon monoxide (CO),897000
12/15/2025,Sweden,2009,Naphthalene,652
12/15/2025,Ireland,2009,Chromium and compounds (as Cr),168
12/15/2025,Czechia,2017,Mercury and compounds (as Hg),1604.4
12/15/2025,Germany,2008,Lead and compounds (as Pb),68130
12/15/2025,Belgium,2012,Zinc and compounds (as Zn),38100
12/15/2025,Poland,2012,Cadmium and compounds (as Cd),1332.2
12/15/2025,France,2007,Nickel and compounds (as Ni),59694.4
12/15/2025,Belgium,2013,Zinc and compounds (as Zn),29306
12/15/2025,Germany,2023,Carbon monoxide (CO),704296000
12/15/2025,France,2021,Hydrochlorofluorocarbons (HCFCs),24984.38
12/15/2025,France,2013,Carbon monoxide (CO),289108000
12/15/2025,Italy,2008,Hydrogen cyanide (HCN),3653
12/15/2025,Poland,2023,Nitrous oxide (N2O),4199400
12/15/2025,Germany,2018,PCDD + PCDF (dioxins + furans) (as Teq),0.008700908
12/15/2025,Belgium,2022,Zinc and compounds (as Zn),20716
12/15/2025,Germany,2018,Dichloromethane (DCM),25430
12/15/2025,Italy,2023,Ammonia (NH3),17504910.2
12/15/2025,Estonia,2015,Methane (CH4),2901000
12/15/2025,Denmark,2007,Sulphur oxides (SOX),14673000
12/15/2025,United Kingdom,2011,Dichloromethane (DCM),291600
12/15/2025,Spain,2024,Cadmium and compounds (as Cd),1266.9
12/15/2025,Greece,2007,Polycyclic aromatic hydrocarbons (PAHs),79.1
12/15/2025,Portugal,2008,Carbon dioxide (CO2),28092000000
12/15/2025,Bulgaria,2015,Carbon dioxide (CO2) excluding biomass,873000000
12/15/2025,United Kingdom,2011,Chromium and compounds (as Cr),4027
12/15/2025,United Kingdom,2010,Chlorofluorocarbons (CFCs),49559.28
12/15/2025,Slovakia,2021,Chromium and compounds (as Cr),435
12/15/2025,Sweden,2010,Particulate matter (PM10),5876100
12/15/2025,Austria,2013,Dichloromethane (DCM),18000
12/15/2025,United Kingdom,2011,Hydro-fluorocarbons (HFCS),68497
12/15/2025,Spain,2024,Nitrous oxide (N2O),12067800
12/15/2025,Finland,2024,Nitrogen oxides (NOX),29174000
12/15/2025,Portugal,2008,Nitrogen oxides (NOX),79784000
12/15/2025,Italy,2011,Non-methane volatile organic compounds (NMVOC),39236000
12/15/2025,Spain,2020,Mercury and compounds (as Hg),831.1
12/15/2025,Sweden,2007,Methane (CH4),9117000
12/15/2025,Greece,2008,Dichloromethane (DCM),33910
12/15/2025,Norway,2015,Lead and compounds (as Pb),1250
12/15/2025,Romania,2008,Nitrogen oxides (NOX),121598000
12/15/2025,Poland,2010,Chlorofluorocarbons (CFCs),509.6
12/15/2025,Finland,2019,Mercury and compounds (as Hg),198.9
12/15/2025,Croatia,2022,Mercury and compounds (as Hg),52.3
12/15/2025,Bulgaria,2007,Ammonia (NH3),8482700
12/15/2025,Denmark,2021,Carbon dioxide (CO2),10954209041
12/15/2025,Serbia,2013,Methane (CH4),3923000
12/15/2025,Italy,2020,Copper and compounds (as Cu),6197.371
12/15/2025,Estonia,2022,Polycyclic aromatic hydrocarbons (PAHs),169.8
12/15/2025,Spain,2021,Naphthalene,1724
12/15/2025,Slovakia,2017,Fluorine and inorganic compounds (as HF),38900
12/15/2025,Greece,2023,Sulphur oxides (SOX),25188300
12/15/2025,Czechia,2009,Nitrous oxide (N2O),1429600
12/15/2025,Belgium,2024,Nitrogen oxides (NOX),27716000
12/15/2025,Bulgaria,2020,Particulate matter (PM10),346724
12/15/2025,Finland,2008,Cadmium and compounds (as Cd),162
12/15/2025,United Kingdom,2008,Mercury and compounds (as Hg),2888.5
12/15/2025,France,2022,Carbon monoxide (CO),241685000
12/15/2025,Czechia,2018,Carbon dioxide (CO2),66705413325
12/15/2025,Norway,2011,Cadmium and compounds (as Cd),88.4
